entry_time,exit_time,direction,exit_reason,pnl_net,r_multiple,duration_min,mfe_r,mae_r,back_to_vwap,range_expansion_pts,min_to_0.25R,min_to_0.5R,min_to_1.0R
2025-01-06 10:13:00,2025-01-06 12:43:00,1,stop,-87.58,-1.03,150.0,1.765,1.088,True,49.0,0.0,2.0,7.0
2025-01-08 15:13:00,2025-01-08 15:24:00,-1,stop,-74.58,-1.036,11.0,0.556,1.035,True,0.0,1.0,2.0,
2025-01-13 10:25:00,2025-01-13 10:39:00,-1,stop,-96.58,-1.027,14.0,1.16,1.037,True,0.0,0.0,0.0,2.0
2025-01-15 13:04:00,2025-01-15 14:37:00,1,target,152.42,1.979,93.0,2.0,0.37,False,24.5,15.0,21.0,27.0
2025-01-16 10:05:00,2025-01-16 10:09:00,-1,stop,-93.58,-1.023,4.0,0.082,1.224,True,0.0,,,
2025-01-16 10:35:00,2025-01-16 11:00:00,-1,stop,-90.58,-1.029,25.0,0.767,1.233,True,0.0,0.0,3.0,
2025-01-22 10:39:00,2025-01-22 11:00:00,1,stop,-88.58,-1.024,21.0,0.075,1.087,False,0.75,,,
2025-01-23 10:03:00,2025-01-23 10:35:00,-1,stop,-77.58,-1.028,32.0,0.377,1.126,True,5.75,0.0,,
2025-01-23 15:15:00,2025-01-23 15:50:00,1,session_flatten,5.42,0.09,35.0,0.364,0.421,False,0.0,1.0,,
2025-01-29 10:05:00,2025-01-29 10:10:00,-1,stop,-66.58,-1.04,5.0,0.312,1.016,True,0.0,0.0,,
2025-01-29 10:27:00,2025-01-29 13:03:00,-1,target,197.42,1.984,156.0,2.0,0.774,True,81.0,0.0,1.0,18.0
2025-01-29 14:04:00,2025-01-29 14:18:00,-1,target,127.42,1.976,14.0,2.093,0.636,False,0.0,0.0,1.0,2.0
2025-01-29 14:59:00,2025-01-29 15:04:00,1,stop,-98.58,-1.027,5.0,0.172,1.229,True,0.0,,,
2025-02-04 14:12:00,2025-02-04 15:00:00,1,stop,-96.58,-1.027,48.0,0.457,1.053,False,0.0,9.0,,
2025-02-05 10:57:00,2025-02-05 11:18:00,1,stop,-64.58,-1.033,21.0,1.04,1.032,False,23.5,10.0,13.0,13.0
2025-02-06 10:10:00,2025-02-06 10:40:00,1,stop,-77.58,-1.028,30.0,1.272,1.225,True,26.75,0.0,0.0,5.0
2025-02-06 13:12:00,2025-02-06 13:12:00,1,stop,-100.74,-1.066,0.0,-0.016,1.683,False,0.0,,,
2025-02-06 13:26:00,2025-02-06 14:28:00,1,stop,-65.58,-1.033,62.0,0.276,1.386,True,0.0,6.0,,
2025-02-07 10:41:00,2025-02-07 10:53:00,-1,stop,-79.58,-1.034,12.0,0.753,1.071,False,0.0,4.0,4.0,
2025-02-10 13:17:00,2025-02-10 14:02:00,1,stop,-118.32,-1.096,45.0,1.148,1.111,False,0.0,5.0,9.0,37.0
2025-02-11 10:30:00,2025-02-11 12:01:00,1,stop,-114.58,-1.023,91.0,0.558,1.071,True,26.0,16.0,22.0,
2025-02-11 13:13:00,2025-02-11 13:21:00,-1,stop,-101.16,-1.054,8.0,0.01,1.135,False,0.0,,,
2025-02-11 13:34:00,2025-02-11 15:50:00,1,session_flatten,-39.58,-0.521,136.0,1.079,0.888,True,0.0,2.0,4.0,69.0
2025-02-12 10:13:00,2025-02-12 10:17:00,-1,stop,-89.58,-1.03,4.0,0.264,1.213,True,0.0,0.0,,
2025-02-14 10:09:00,2025-02-14 12:31:00,1,stop,-88.58,-1.03,142.0,0.715,1.145,True,24.25,2.0,48.0,
2025-02-14 13:32:00,2025-02-14 15:50:00,1,session_flatten,118.84,1.278,138.0,1.806,0.484,False,33.5,2.0,2.0,5.0
2025-02-17 10:20:00,2025-02-17 11:03:00,1,target,197.68,1.938,43.0,2.02,0.235,False,5.0,7.0,10.0,17.0
2025-02-18 10:17:00,2025-02-18 10:28:00,-1,target,232.26,1.96,11.0,2.709,0.127,False,13.5,0.0,0.0,0.0
2025-02-18 10:48:00,2025-02-18 10:53:00,-1,stop,-123.16,-1.035,5.0,0.395,1.034,False,0.0,0.0,,
2025-02-18 13:32:00,2025-02-18 14:09:00,-1,target,190.84,1.967,37.0,2.0,0.814,False,22.0,1.0,11.0,36.0
2025-02-19 10:04:00,2025-02-19 10:46:00,-1,stop,-91.58,-1.023,42.0,0.682,1.028,True,24.5,1.0,5.0,
2025-02-20 10:48:00,2025-02-20 12:21:00,-1,stop,-100.58,-1.021,93.0,1.264,1.0,True,0.0,2.0,4.0,12.0
2025-02-20 13:25:00,2025-02-20 13:59:00,-1,stop,-75.58,-1.035,34.0,0.055,1.151,True,0.0,,,
2025-02-21 10:15:00,2025-02-21 10:34:00,-1,target,170.42,1.982,19.0,2.081,0.552,False,69.75,6.0,7.0,10.0
2025-02-24 14:21:00,2025-02-24 15:43:00,-1,target,123.42,1.975,82.0,2.064,0.56,True,0.0,1.0,21.0,35.0
2025-02-25 14:14:00,2025-02-25 14:40:00,-1,stop,-73.58,-1.036,26.0,1.169,1.113,True,0.0,1.0,1.0,2.0
2025-03-14 11:00:00,2025-03-14 11:40:00,1,target,184.42,1.983,40.0,2.038,0.011,False,60.5,0.0,0.0,1.0
2025-03-18 14:05:00,2025-03-18 14:24:00,-1,stop,-127.16,-1.034,19.0,0.951,1.252,True,0.0,0.0,0.0,
2025-03-19 14:32:00,2025-03-19 14:45:00,1,target,156.42,1.98,13.0,2.019,0.139,False,41.0,0.0,0.0,1.0
2025-03-24 10:14:00,2025-03-24 12:07:00,1,target,138.42,1.977,113.0,2.036,0.014,False,41.25,0.0,2.0,8.0
2025-03-24 14:45:00,2025-03-24 15:50:00,1,session_flatten,39.42,0.422,65.0,0.668,0.749,False,13.25,19.0,21.0,
2025-03-25 10:07:00,2025-03-25 10:53:00,1,target,168.42,1.981,46.0,2.047,0.218,False,46.0,1.0,4.0,23.0
2025-03-25 13:04:00,2025-03-25 13:18:00,1,stop,-107.16,-1.04,14.0,0.437,1.019,False,0.0,5.0,,
2025-03-25 14:22:00,2025-03-25 14:32:00,1,stop,-113.16,-1.048,10.0,0.093,1.037,True,0.0,,,
2025-03-27 14:38:00,2025-03-27 15:01:00,1,stop,-70.58,-1.038,23.0,1.125,1.0,True,0.0,2.0,5.0,14.0
2025-04-02 10:41:00,2025-04-02 11:22:00,1,target,142.42,1.978,41.0,2.139,0.576,False,38.25,1.0,1.0,17.0
2025-04-03 13:10:00,2025-04-03 14:13:00,-1,target,176.42,1.982,63.0,2.067,0.669,True,0.0,1.0,11.0,13.0
2025-04-14 10:49:00,2025-04-14 10:58:00,1,stop,-78.58,-1.027,9.0,0.85,1.092,False,0.0,1.0,2.0,
2025-04-16 10:16:00,2025-04-16 10:25:00,-1,stop,-115.58,-1.023,9.0,0.292,1.097,True,0.0,4.0,,
2025-04-16 13:04:00,2025-04-16 13:13:00,-1,target,205.26,1.955,9.0,2.171,0.786,False,0.0,0.0,1.0,2.0
2025-04-28 10:25:00,2025-04-28 10:25:00,-1,stop,-77.58,-1.028,0.0,-0.007,1.384,False,0.0,,,
2025-05-01 13:36:00,2025-05-01 13:41:00,1,stop,-115.16,-1.047,5.0,0.109,1.5,True,0.0,,,
2025-05-01 14:10:00,2025-05-01 15:11:00,1,stop,-90.58,-1.024,61.0,0.559,1.254,True,0.0,2.0,36.0,
2025-05-02 10:04:00,2025-05-02 12:02:00,1,target,202.42,1.985,118.0,2.936,0.064,False,116.75,0.0,0.0,12.0
2025-05-05 10:36:00,2025-05-05 10:40:00,-1,stop,-110.58,-1.019,4.0,0.166,1.124,True,0.0,,,
